Remote,CplxID,Borough,CplxName,Routes,CplxLat,CplxLong,Hub
R435,89,Bk,Cleveland St,J,40.679947,-73.884639,0
R436,88,Bk,Norwood Av,J Z,40.68141,-73.880039,0
R437,87,Bk,Crescent St,J Z,40.683194,-73.873785,0
R438,182,Bk,Ralph Av,C,40.678822,-73.920786,0
R439,183,Bk,Rockaway Av,C,40.67834,-73.911946,0
R440,185,Bk,Liberty Av,C,40.674542,-73.896548,0
R441,186,Bk,Van Siclen Av,C,40.67271,-73.890358,0
R442,187,Bk,Shepherd Av,C,40.67413,-73.88075,0
R443,217,Bx,170 St,B D,40.839306,-73.9134,0
R444,417,Bx,Nereid Av,2 5,40.898379,-73.854376,0
R445,377,Bx,3 Av - 138 St,6,40.810476,-73.926138,0
R446,376,Bx,Brook Av,6,40.807566,-73.91924,0
R447,375,Bx,Cypress Av,6,40.805368,-73.914042,0
R448,374,Bx,E 143 St - St Mary's St,6,40.808719,-73.907657,0
R449,373,Bx,E 149 St,6,40.812118,-73.904098,0
R450,372,Bx,Longwood Av,6,40.816104,-73.896435,0
R451,355,Bk,Winthrop St,2 5,40.656652,-73.9502,0
R452,313,M,72 St,1 2 3,40.778453,-73.98197,0
R453,228,M,23 St,F M,40.742878,-73.992821,1
R455,31,Bk,25 St,R,40.660397,-73.998091,0
R456,336,Bk,Hoyt St,2 3,40.690545,-73.985065,0
R460,101,Bk,Marcy Av,J M Z,40.708359,-73.957757,0
R461,619,M,Broadway-Lafayette St / Bleecker St,B D F M 6,40.725665,-73.995645,1
R462,623,M,Canal St,R W N Q J Z 6,40.718697,-74.000977,1
R463,623,M,Canal St,R W N Q J Z 6,40.718697,-74.000977,1
R464,196,Q,Aqueduct Racetrack,A,40.672097,-73.835919,0
R570,477,M,72 St,Q,40.768799,-73.958424,0
R571,476,M,86 St,Q,40.777891,-73.951787,0
R572,475,M,96 St,Q,40.784318,-73.947152,0
